Generation,BestFitness,AvgFitness,WorstFitness
578,1009.58,63.03,-50.10
579,1950.98,93.20,-50.10
580,1951.07,71.43,-50.10
581,1950.93,149.32,-50.10
582,2949.90,199.15,-50.10
583,959.76,48.45,-50.10
584,2949.90,135.93,-50.10
585,959.75,37.77,-50.10
586,1503.62,115.94,-50.10
587,501.07,-1.95,-50.10
588,505.18,31.57,-50.10
589,20.00,-29.83,-50.10
590,20.51,-35.85,-50.10
591,1004.22,18.05,-50.10
592,500.08,-8.75,-50.10
593,2000.00,91.64,-50.10
594,1510.84,48.49,-50.10
595,955.84,19.90,-50.10
596,500.00,43.19,-50.10
597,450.26,-4.71,-50.10
598,1503.55,48.70,-50.10
599,2000.00,245.48,-50.10
600,501.14,28.00,-50.10
601,20.07,-26.67,-50.10
602,2000.00,81.08,-50.10
603,2000.00,124.12,-50.10
604,2000.00,68.15,-50.10
605,2949.90,122.36,-50.10
606,1508.44,37.63,-50.10
607,2000.00,66.89,-50.10
608,5.71,-39.25,-50.10
609,19.62,-33.84,-50.10
610,1005.39,78.91,-50.10
611,19.91,-29.91,-50.10
612,1010.48,50.33,-50.10
613,2000.00,123.26,-50.10
614,505.43,29.89,-50.10
615,2500.00,91.13,-50.10
616,2005.93,104.49,-50.10
617,2005.99,93.20,-50.10
618,18.59,-29.98,-50.10
619,953.63,37.07,-50.10
620,1010.72,54.06,-50.10
621,11.79,-30.41,-50.10
622,500.00,-4.98,-50.10
623,954.29,50.45,-50.10
624,1504.99,118.34,-50.10
625,953.28,29.40,-50.10
626,3000.00,131.13,-50.10
627,2949.90,120.60,-50.10
628,25.36,-19.07,-50.10
629,16.13,-32.53,-50.10
630,20.99,-31.12,-50.10
631,500.33,-8.13,-50.10
632,2949.90,126.63,-50.10
633,2000.00,116.63,-50.10
634,2949.90,219.42,-50.10
635,9.23,-26.89,-50.10
636,2000.00,67.22,-50.10
637,2003.39,118.91,-50.10
638,500.92,18.48,-50.10
639,1009.08,86.99,-50.10
640,1004.96,61.51,-50.10
641,2000.00,121.98,-50.10
642,14.55,-20.15,-50.10
643,500.00,-2.81,-50.10
644,500.00,-0.98,-50.10
645,3000.00,118.23,-50.10
646,2000.00,91.79,-50.10
647,1001.52,60.10,-50.10
648,501.08,16.82,-50.10
649,17.35,-22.31,-50.10
650,2000.00,98.78,-50.10
651,451.64,-3.51,-50.10
652,449.93,-0.76,-50.10
653,2000.00,139.90,-50.10
654,1950.43,65.02,-50.10
655,1951.08,74.78,-50.10
656,502.61,-3.13,-50.10
657,501.13,20.93,-50.10
658,500.00,2.31,-50.10
659,20.22,-29.94,-50.10
660,1003.10,22.91,-50.10
661,2003.77,104.01,-50.10
662,2000.00,137.89,-50.10
663,959.63,54.15,-50.10
664,2000.00,126.60,-50.10
665,20.11,-20.59,-50.10
666,1011.17,16.92,-50.10
667,1512.08,74.14,-50.10
668,2512.22,194.56,-50.10
669,1507.29,64.18,-50.10
670,502.88,-1.62,-50.10
671,957.61,63.05,-50.10
672,1005.68,73.95,-50.10
673,2000.00,68.79,-50.10
674,2000.00,61.50,-50.10
675,2500.00,193.93,-50.10
676,1004.39,48.60,-50.10
677,1510.92,92.38,-50.10
678,2949.90,265.39,-50.10
679,2000.00,172.36,-50.10
680,501.91,45.16,-50.10
681,2000.00,99.32,-50.10
682,2453.07,117.02,-50.10
683,2000.00,69.70,-50.10
684,1011.76,73.54,-50.10
