Generation,BestFitness,AvgFitness,WorstFitness
274,508.00,1.53,-50.10
275,15.33,-2.53,-50.08
276,1000.00,60.29,-50.10
277,500.52,4.30,-49.90
278,511.79,0.75,-50.07
279,500.77,35.41,-50.03
280,12.14,-22.52,-50.09
281,28.08,-20.43,-50.09
282,502.71,35.82,-50.10
283,18.90,-20.55,-50.10
284,950.18,56.55,-50.01
285,20.04,-22.00,-50.10
286,15.79,-21.13,-50.10
287,21.29,-20.32,-50.10
288,500.67,17.95,-50.10
289,18.37,-18.91,-50.10
290,24.58,-8.85,-50.10
291,501.19,17.92,-50.08
292,25.27,-16.42,-50.10
293,29.42,-27.60,-50.10
294,503.55,37.63,-50.10
295,450.13,20.02,-50.10
296,501.47,19.21,-50.04
297,500.00,33.94,-50.10
298,20.84,-9.82,-50.10
299,503.59,7.47,-50.10
300,502.76,0.70,-50.10
301,16.80,-4.66,-50.10
302,18.50,-6.24,-50.10
303,27.81,-9.87,-50.10
304,450.33,22.16,-48.19
305,16.97,-16.09,-50.03
306,1007.17,25.78,-50.10
307,25.62,-16.46,-50.01
308,21.68,-14.51,-50.10
309,507.59,13.26,-50.10
310,502.86,2.67,-50.10
311,1004.12,36.91,-50.08
312,504.61,36.51,-50.10
313,510.40,31.53,-50.10
314,510.23,57.20,-50.10
315,1001.68,61.75,-50.10
316,950.52,64.02,-50.10
317,502.70,41.24,-50.10
318,19.34,-31.46,-50.10
319,26.21,-19.76,-50.10
320,20.49,-20.87,-50.10
321,21.54,-15.25,-50.10
322,500.19,11.93,-50.10
323,19.32,-21.72,-50.10
324,511.17,21.82,-50.10
325,2005.41,313.39,-50.10
326,2005.66,370.79,-50.10
327,2004.96,157.48,-50.10
328,26.08,-18.88,-50.10
329,22.31,-19.44,-50.10
330,1000.00,25.66,-50.10
331,1007.31,82.54,-50.10
332,1005.25,89.40,-50.02
333,18.14,-18.78,-50.10
334,1008.03,58.20,-50.10
335,1001.76,34.51,-50.10
336,1013.13,60.47,-50.09
337,23.17,-18.58,-50.10
338,505.92,38.27,-50.10
339,1004.34,29.50,-50.10
340,500.68,14.04,-50.10
341,1008.97,58.38,-50.10
342,1500.73,157.76,-50.10
343,1007.40,83.30,-50.10
344,23.97,-10.69,-50.10
345,19.24,-13.76,-50.10
346,500.84,18.14,-50.10
347,1000.00,65.97,-50.10
348,500.00,14.09,-50.10
349,457.66,31.07,-50.10
350,30.56,-29.60,-50.10
351,500.43,0.26,-50.10
352,21.60,-21.23,-50.10
353,500.99,31.28,-50.10
354,455.50,5.89,-50.10
355,2004.80,83.57,-50.08
356,1502.61,66.12,-50.10
357,17.64,-16.11,-50.10
358,22.10,-9.01,-50.10
359,1001.43,40.88,-50.10
360,456.14,5.28,-50.10
361,1501.62,77.90,-50.10
362,24.07,-20.33,-50.10
363,1009.35,153.12,-50.10
364,1508.63,88.83,-50.10
365,1508.72,56.94,-50.10
366,1949.90,126.20,-50.10
367,1000.12,104.86,-50.10
368,2006.05,75.75,-50.10
369,1500.00,107.21,-50.10
370,1450.49,178.06,-49.70
371,15.91,-15.67,-50.10
372,18.94,-16.68,-50.10
373,1503.07,51.32,-50.10
374,1508.44,66.94,-50.10
375,1007.81,32.58,-50.10
376,17.04,-5.67,-50.10
377,2001.27,183.77,-50.10
378,512.17,12.79,-50.10
379,25.84,-3.42,-50.10
380,24.55,-14.28,-50.10
381,1504.46,139.68,-50.10
382,21.99,-13.34,-50.10
383,1012.53,112.18,-50.09
384,500.96,18.06,-50.10
385,2007.15,87.81,-50.10
386,2006.66,196.66,-49.18
387,513.49,46.39,-50.10
388,2006.96,252.15,-50.10
389,2015.16,163.49,-50.10
390,1009.49,58.86,-50.10
391,1504.96,190.13,-50.10
392,29.03,-19.61,-50.10
393,2002.97,139.53,-49.11
394,1009.69,77.09,-50.10
395,1958.17,134.00,-50.10
396,1951.49,142.18,-50.07
397,1007.88,61.03,-50.10
398,510.34,2.54,-50.10
399,22.39,-18.09,-50.10
400,2500.00,115.26,-50.10
401,1500.45,81.91,-50.10
402,505.32,66.09,-50.10
403,23.60,-16.59,-50.10
404,502.66,-2.38,-50.10
405,21.06,-14.30,-50.10
406,1010.22,79.79,-50.10
407,1003.78,127.98,-50.10
408,19.23,-17.44,-50.10
409,1449.90,51.55,-50.10
410,21.10,-20.59,-50.10
411,1011.33,179.28,-50.10
412,951.84,47.34,-50.10
413,1002.15,30.27,-50.10
414,1949.90,84.25,-50.10
415,1450.43,59.09,-50.10
416,506.76,85.15,-50.10
417,1004.73,57.65,-50.10
418,952.06,110.99,-50.10
419,511.63,43.84,-50.10
420,1004.32,128.79,-50.10
421,1500.81,90.71,-49.44
422,511.10,140.26,-50.10
423,509.60,133.74,-50.02
424,28.15,-14.20,-49.99
425,512.63,105.32,-50.10
426,14.84,-15.61,-50.10
427,513.47,13.41,-50.10
428,502.71,10.24,-50.10
429,1505.88,166.05,-50.10
430,2450.00,222.64,-50.10
431,513.67,6.11,-50.10
432,14.96,-27.27,-50.10
433,2505.69,158.44,-50.08
434,1002.79,86.83,-50.10
435,2006.48,137.40,-50.10
436,1509.41,238.26,-50.10
437,1949.97,137.43,-50.10
438,3503.57,324.70,-50.10
439,2000.90,254.88,-50.10
440,1501.25,116.35,-50.02
441,1005.84,52.45,-50.10
442,1008.08,53.23,-50.10
443,1500.00,140.89,-50.05
444,502.66,10.38,-50.10
445,1949.90,225.45,-50.10
446,506.41,67.29,-50.10
447,500.00,14.44,-50.10
448,1005.36,24.52,-50.10
